NIT_;Año_;Precio_final_Escen;Precio_index;Escenario;DIVISA;FECHA;Producto_FK
5506433;2018;6;7.564962846;Guatecompras;Q;28/02/2018;7
19554648;2018;9.15;11.536568340;Guatecompras;Q;28/02/2018;5
19554648;2018;192;242.078811079;Guatecompras;Q;27/02/2018;7
19554648;2018;7;8.825789987;Guatecompras;Q;27/02/2018;100
5506433;2018;6.25;7.880169631;Guatecompras;Q;3/02/2018;7
47912677;2018;8.85;11.012022222;Guatecompras;Q;3/06/2018;99
5506433;2018;6.25;7.749298789;Guatecompras;Q;3/07/2018;5
19554648;2016;5.5;7.348790964;Guatecompras;Q;22/08/2016;2
47912677;2016;10.79;14.416991728;Guatecompras;Q;22/08/2016;2
41274989;2016;6.15;8.217284442;Guatecompras;Q;22/08/2016;2
37591126;2016;4.02;5.371298123;Guatecompras;Q;22/08/2016;2
41274989;2016;4;5.344575247;Guatecompras;Q;22/08/2016;103
47912677;2016;7.82;10.448644607;Guatecompras;Q;22/08/2016;103
90853296;2016;3.33;4.449358893;Guatecompras;Q;24/08/2016;10
5506433;2016;7.5;10.021078587;Guatecompras;Q;25/08/2016;11
19554648;2016;9.15;12.225715877;Guatecompras;Q;25/08/2016;11
41274989;2016;4.2;5.611804009;Guatecompras;Q;25/08/2016;11
41274989;2016;4.8;6.413490296;Guatecompras;Q;27/08/2016;103
47912677;2016;6.65;8.885356347;Guatecompras;Q;27/08/2016;103
19554648;2016;7.5;10.021078587;Guatecompras;Q;27/08/2016;103
41274989;2016;5.3;7.081562202;Guatecompras;Q;30/08/2016;98
19554648;2016;7;9.353006682;Guatecompras;Q;30/08/2016;98
4123670;2016;8;10.689150493;Guatecompras;Q;30/08/2016;98
47912677;2016;7.38;9.860741330;Guatecompras;Q;30/08/2016;98
61458228;2016;6.25;8.350898823;Guatecompras;Q;30/08/2016;100
4556984;2016;18;24.050588610;Guatecompras;Q;30/08/2016;100
47912677;2016;6.96;9.299560929;Guatecompras;Q;30/08/2016;100
41274989;2016;5.3;7.081562202;Guatecompras;Q;30/08/2016;100
19554648;2016;7;9.353006682;Guatecompras;Q;30/08/2016;100
2475546K;2016;9;12.130466180;Guatecompras;Q;9/06/2016;3
41274989;2016;6.75;9.097849635;Guatecompras;Q;9/06/2016;3
19554648;2016;9.15;12.332640616;Guatecompras;Q;9/06/2016;3
19554648;2016;9.15;12.332640616;Guatecompras;Q;9/06/2016;6
47912677;2016;9.51;12.817859263;Guatecompras;Q;9/06/2016;6
2475546K;2016;9;12.130466180;Guatecompras;Q;9/06/2016;6
